name,ingredients,type,effort,time,temperature,keywords,link
cereal,cereal; oat milk,breakfast,low,< 10 min,cold,quick,
french toast,sliced bread; oat milk; eggs; syrup,breakfast,medium,.5 hour,hot,favorite,
chili peanut spaghetti,chili crisp; hoisin sauce; peanut butter; scallions; pasta; garlic,main,medium,.5 hour,hot,Asian; vegetarian; pasta,https://www.instagram.com/happytummy_702/
spoonbread,creamed corn; corn; Jiffy cornbread mix; cream cheese; eggs,side,medium,1 hour,hot,Thanksgiving,
grilled cheese & tomato soup,sliced bread; sliced cheese; tomato soup,main,low,.25 hour,hot,quick; vegetarian,
brie bites,Pillsbury crescent roll dough; brie cheese; cranberry jelly; walnuts; fresh rosemary,side,medium,.5 hour,hot,Thanksgiving,
maple dijon chicken thighs,chicken thighs; dijon mustard; garlic,main,medium,1.25 hour,hot,meat-based,https://www.budgetbytes.com/maple-dijon-chicken/
orange chicken stir fry,Trader Joe's frozen orange chicken; white rice; cabbage; carrots ,main,medium,.75 hour,hot,Asian; meat-based; frozen,
fancy frozen pizza,Freschetta 4 cheese frozen pizza; arugala,main,low,.25 hour,hot,quick; frozen; vegetarian,
potato & chorizo tacos,russet potatos; chorizo; corn tortillas; white onion; cilantro; salsa verde; lime,main,medium,1 hour,hot,Mexican; leftovers,https://www.seriouseats.com/chorizo-potato-tacos-how-to-food-lab-recipe